TimeOfDay,currentLocation,n
Evening,POINT (-1070.383832732168 1602.900364979469),320
Evening,POINT (-1070.4250541915642 5800.387305498771),7
Evening,POINT (-1070.4483983982595 5800.387293919871),1
Evening,POINT (-1070.4526532501109 5800.387291809433),1
Evening,POINT (-1071.365762472906 3672.640548695031),1
Evening,POINT (-1071.5439580732354 5800.386750514149),324
Evening,POINT (-1072.1112592949846 4323.714870896736),1
Evening,POINT (-1072.8663805946628 4331.108022752155),22
Evening,POINT (-1073.8673859084947 4340.908546583751),37
Evening,POINT (-1074.292821285907 4436.104740667487),322
Evening,POINT (-1074.3717368138614 3672.596044565549),3
Evening,POINT (-1075.7904866966203 5800.384644204466),10
Evening,POINT (-1076.2974909089126 4263.125985823625),3
Evening,POINT (-1076.4851761171014 3672.5647546190175),80
Evening,POINT (-1077.2836471302037 3465.1605771882532),55
Evening,POINT (-1077.4561686985855 4351.708904817477),35
Evening,POINT (-1079.577555482503 3672.518971243621),4
Evening,POINT (-1079.9246070332174 1198.062922647999),321
Evening,POINT (-108.1374193685613 1664.974199160339),1
Evening,POINT (-108.82584942344238 4741.686395383231),49
Evening,POINT (-1081.333750586046 5800.3818947044765),21
Evening,POINT (-1083.485265163434 3068.2882291896303),4
Evening,POINT (-1083.6431931491577 5800.409186529823),321
Evening,POINT (-1084.6352039399424 5849.920876975028),165
Evening,POINT (-1085.067365639844 5859.209211826727),87
Evening,POINT (-1085.144798605374 4263.711671775449),1
Evening,POINT (-1086.1892050000802 5883.419740909802),138
Evening,POINT (-1086.3939434213469 2440.858139001185),319
Evening,POINT (-1087.244210251766 5938.80953244932),45
Evening,POINT (-1087.2544746105175 4434.3306042309105),8
Evening,POINT (-1087.3891907357147 4434.312164855908),10
Evening,POINT (-1087.7140769932469 5963.4784341636905),321
Evening,POINT (-1087.7548087860996 5965.616931115755),33
Evening,POINT (-1087.765471814727 3672.3977472918154),42
Evening,POINT (-1088.4668511773325 3672.387363211837),21
Evening,POINT (-1089.4115001908374 4434.035359667518),128
Evening,POINT (-1090.2758599567428 3672.3605804280137),11
Evening,POINT (-1090.8104972394158 3672.352665002213),3
Evening,POINT (-1091.6174758545917 5800.577949672942),71
Evening,POINT (-1095.4397213940522 5800.658841484136),320
Evening,POINT (-1095.8438546268312 2495.769897064819),50
Evening,POINT (-1097.4417089678443 5800.701210400303),365
Evening,POINT (-1097.5435316317237 5800.70336531673),321
Evening,POINT (-1097.9183712943125 5800.711298208247),356
Evening,POINT (-1099.136832194088 3672.229391731419),1
Evening,POINT (-11.00642606227646 1659.5769992519374),321
Evening,POINT (-1100.1979485125464 4432.558956117019),186
Evening,POINT (-1101.1108526976682 1199.62165211216),142
Evening,POINT (-1102.480669073515 5212.65019306303),53
Evening,POINT (-1102.7532500205364 5800.813620807104),32
Evening,POINT (-1103.51589316973 3672.1638766919104),20
Evening,POINT (-1107.0914082020379 5800.905431097396),28
Evening,POINT (-1107.1669180717713 4431.605072957921),321
Evening,POINT (-1107.8793385025272 5800.92210640212),321
Evening,POINT (-1108.3626073038818 5800.932334025707),6
Evening,POINT (-1108.7013252400461 3076.5769666578326),4
Evening,POINT (-1109.0481418525774 5800.946842285501),32
Evening,POINT (-1109.3214248131821 2986.5257156326306),157
Evening,POINT (-1109.3214248131821 3017.7174656996385),47
Evening,POINT (-1109.4242120766467 1600.5594598695986),56
Evening,POINT (-1110.383643516312 1600.5019312800357),149
Evening,POINT (-1110.50772687698 5800.977732105372),1
Evening,POINT (-1111.2507784205893 4393.2694155714635),145
Evening,POINT (-1112.0434338784444 3672.036212356778),7
Evening,POINT (-1112.661584948115 3725.721049240871),221
Evening,POINT (-1112.661584948115 3805.031831293623),47
Evening,POINT (-1113.3116227333046 4265.576297011192),321
Evening,POINT (-1114.4179685170473 5801.0604862155415),71
Evening,POINT (-1114.8663863252707 3671.9939504245813),21
Evening,POINT (-1115.4727909108174 5801.082809871371),25
Evening,POINT (-1116.3799220215722 5801.10200787364),41
Evening,POINT (-1116.5544646984313 4265.790971016902),220
Evening,POINT (-1116.9908844669897 5801.114937932233),322
Evening,POINT (-1117.8112263202204 2920.893385477977),104
Evening,POINT (-1118.0675006304893 5801.1377228188985),69
Evening,POINT (-1118.916899098813 5801.155699000654),23
Evening,POINT (-1119.199195142412 5801.161673352124),6
Evening,POINT (-112.0845459165657 4107.738582832086),11
Evening,POINT (-1122.4653148781601 3671.8801881812146),51
Evening,POINT (-1122.5885499861417 5008.717934628983),6
Evening,POINT (-1122.883115076769 5801.23963771959),321
Evening,POINT (-1123.238411859719 5801.247157016816),1
Evening,POINT (-1124.4800952604069 3671.850025253036),31
Evening,POINT (-1125.4321453611485 4009.136028156402),44
Evening,POINT (-1129.253764836081 5801.374462495285),35
Evening,POINT (-1130.1771632089492 3045.8804844738916),320
Evening,POINT (-1130.8113181627405 2817.328059404481),15
Evening,POINT (-1130.8113181627405 2900.180320263278),32
Evening,POINT (-1130.9560877527028 5801.410489480611),46
Evening,POINT (-1131.9802665388981 5801.4321646127155),642
Evening,POINT (-1135.0053254088261 1599.0255875066512),49
Evening,POINT (-1135.5947565855474 5801.50865960588),57
Evening,POINT (-1136.55248268035 5801.528928371357),8
Evening,POINT (-1136.94740500444 3205.4960456386566),71
Evening,POINT (-1139.1551798779526 4353.2644817359505),231
Evening,POINT (-1139.360315631531 5801.588351736656),74
Evening,POINT (-1139.5795486962304 5973.250990192849),262
Evening,POINT (-1139.6304516118212 4666.691716768357),1
Evening,POINT (-1139.803542031765 4656.894729663346),2
Evening,POINT (-114.67106220529074 4741.84316717667),12
Evening,POINT (-1141.93087973361 5973.30152697582),1
Evening,POINT (-1142.1623880556635 1598.5964419705945),273
Evening,POINT (-1142.2160613228325 4734.365680045771),12
Evening,POINT (-1142.3234651270516 2427.4800877711286),11
Evening,POINT (-1142.8809752116933 2659.65906752698),320
Evening,POINT (-1143.1024501174238 5801.667548123483),154
Evening,POINT (-1143.5317697316593 2666.7686964951627),321
Evening,POINT (-1143.7006673513288 2668.6138248307893),387
Evening,POINT (-1144.2180537077177 4353.392128670969),3
Evening,POINT (-1144.2704892117179 4758.7571820187),5
Evening,POINT (-1144.6955513270343 4763.803795472717),32
Evening,POINT (-1145.6130978747685 3858.943247054939),35
Evening,POINT (-1145.7644994290774 4426.321998821097),6
Evening,POINT (-1145.913725171229 4353.434880529379),24
Evening,POINT (-1146.1548252044004 2695.424363686594),87
Evening,POINT (-1146.9686361779375 5801.749369866649),22
Evening,POINT (-1147.345579114676 5801.757347270654),321
Evening,POINT (-1147.4543183206597 4796.5576686711465),3
Evening,POINT (-1147.6820483133058 2712.108569411805),321
Evening,POINT (-1148.6835412779149 5801.785663134084),8
Evening,POINT (-1148.7822412400549 4812.3236318785),23
Evening,POINT (-1149.377720499185 3671.4772872174103),3
Evening,POINT (-1149.4490540977283 3671.4762192944604),21
Evening,POINT (-1149.787170276479 5801.80901970489),21
Evening,POINT (-1149.8430786726185 1598.1358991117786),10
Evening,POINT (-1149.9382750319573 2736.756802218917),23
Evening,POINT (-1150.7615668896606 5801.829641275652),6
Evening,POINT (-1151.3277589600784 4277.468407296225),44
Evening,POINT (-1151.3470262052238 2752.1467568714843),321
Evening,POINT (-1151.3734243355539 4279.375596039556),67
Evening,POINT (-1151.4063272646683 4280.749768382967),48
Evening,POINT (-1151.7189478991966 4293.806193494919),64
Evening,POINT (-1151.9134552356522 4404.408970895133),50
Evening,POINT (-1151.9823668001309 4304.807735854128),8
Evening,POINT (-1152.1826440043317 4393.3613513259925),527
Evening,POINT (-1152.2300044801163 4315.150184389265),310
Evening,POINT (-1152.3890657630602 4384.889716077575),16
Evening,POINT (-1152.4170993219639 4383.739207104055),30
Evening,POINT (-1152.5680468358817 4377.544258047108),304
Evening,POINT (-1152.6192736785297 4375.441887015505),82
Evening,POINT (-1152.6364427431604 3671.4285014510483),1
Evening,POINT (-1152.8560340540384 4341.295957722876),1
Evening,POINT (-1152.8932387121413 4364.198247537404),28
Evening,POINT (-1152.8950714628743 4364.123030681359),16
Evening,POINT (-1152.9163823867364 4363.248421459548),4
Evening,POINT (-1152.9371584075298 4344.684070755507),27
Evening,POINT (-1152.9482307903852 4345.14650260292),9
Evening,POINT (-1153.504490519086 2773.3072986970897),116
Evening,POINT (-1154.60519093366 4425.485058346808),39
Evening,POINT (-1155.7163096080212 2789.0090426141173),322
Evening,POINT (-1157.3169140323503 5801.96837488078),10
Evening,POINT (-116.19427258364054 4741.884020509425),155
Evening,POINT (-1160.9851848914243 2826.412884024393),48
Evening,POINT (-1161.532155224081 1596.5507342985395),91
Evening,POINT (-1163.1663589261952 2841.8970781448666),1
Evening,POINT (-1163.5035452225043 5802.099305193077),13
Evening,POINT (-1163.6810979200518 3671.263153831132),3
Evening,POINT (-1163.7210641363663 5802.103908638547),12
Evening,POINT (-1163.966563551602 2847.577745326108),318
Evening,POINT (-1164.3299217599144 2850.1572318517524),87
Evening,POINT (-1164.3421932373165 2850.2443472928917),45
Evening,POINT (-1164.9757865173017 5802.130462862992),10
Evening,POINT (-1165.4396742532404 5802.140280316832),880
Evening,POINT (-1166.1507741669157 2425.1818854406692),9
Evening,POINT (-1166.439799946012 2652.5715071002023),220
Evening,POINT (-1166.4690949508138 2865.343261218126),1
Evening,POINT (-1167.6323962851598 5802.186685827618),1
Evening,POINT (-1168.3001828894135 1524.4289840643512),140
Evening,POINT (-1168.359774420459 1524.0469195318165),1
Evening,POINT (-1168.414810602926 4814.298842575643),1
Evening,POINT (-1169.349361113934 3671.1782952444983),77
Evening,POINT (-1169.692326562151 3671.1731607681686),34
Evening,POINT (-117.15998583928034 4108.542907732084),15
Evening,POINT (-117.81446163053153 4108.646625081391),15
Evening,POINT (-117.91190934067353 3842.601479945392),4
Evening,POINT (-117.98118393582054 4108.673046219967),5
Evening,POINT (-1170.2741195882936 4425.163515365263),12
Evening,POINT (-1170.5553836504484 5802.248546254855),15
Evening,POINT (-1171.5865750702967 1503.3586428550334),321
Evening,POINT (-1171.7282339209005 1502.450412749417),125
Evening,POINT (-1172.8251015689627 5802.2965812624),3
Evening,POINT (-1173.4246347398423 1496.31330959489),98
Evening,POINT (-1174.2241858463622 3671.105315087662),4
Evening,POINT (-1174.9967763267462 5802.342541340754),321
Evening,POINT (-1175.2675203697677 4267.20439726812),9
Evening,POINT (-1175.487046953433 4477.73471232868),32
Evening,POINT (-1175.671205482538 5802.356814572385),4
Evening,POINT (-1175.7852521760947 4425.050421098065),59
Evening,POINT (-1176.6989055164295 4726.117600229471),170
Evening,POINT (-1176.7502550716968 5974.0498942565855),2
Evening,POINT (-1176.8013302032396 5846.6471242364805),2047
Evening,POINT (-1177.3940385093294 3671.057859772406),69
Evening,POINT (-1178.613239966738 5802.419617156264),2
Evening,POINT (-118.7567402282582 4108.795951671879),10
Evening,POINT (-1180.704739876141 2563.522481673344),20
Evening,POINT (-1180.704739876141 2615.334435880475),72
Evening,POINT (-1180.9940962318371 5802.484889477562),321
Evening,POINT (-1181.6060163392276 4266.975232237497),73
Evening,POINT (-1181.9015012656425 1207.8723418935722),9
Evening,POINT (-1182.4343339979453 5974.172061258389),6
Evening,POINT (-1183.1345369372807 4266.919969368932),6
Evening,POINT (-1183.7067920410168 2715.4569198432737),238
Evening,POINT (-1185.0022545640977 5802.5947750688565),48
Evening,POINT (-1185.0345615988056 4266.8512749638485),24
Evening,POINT (-1185.8927533456197 5974.246392513841),67
Evening,POINT (-1187.0273675484536 1590.1866775788403),29
Evening,POINT (-119.86681643121194 4029.2517397445936),11
Evening,POINT (-1190.1331454841174 1589.4114203780025),1
Evening,POINT (-1190.9491044172587 2889.1141360057463),267
Evening,POINT (-1191.2779946228918 1445.9622213270238),18
Evening,POINT (-1193.2531398107856 1440.3918015097486),1
Evening,POINT (-1193.5105947103925 4266.54482838773),3
Evening,POINT (-1194.2884950303803 5802.849361824156),34
Evening,POINT (-1194.9113432732602 1435.7152392574853),10
Evening,POINT (-1195.753532444553 5802.889526530533),17
Evening,POINT (-1196.5570261244097 3078.852116162034),9
Evening,POINT (-1197.4724705160024 2392.859100125612),18
Evening,POINT (-1198.8058400503483 4424.578014296991),10
Evening,POINT (-1198.809945693491 3857.0728249386834),32
Evening,POINT (-1199.851719928422 2909.326175390639),288
Evening,POINT (-1199.9352560712707 3671.208720733735),28
Evening,POINT (-12.54857292607484 1659.584156564186),634
Evening,POINT (-120.78172949038212 3842.402313287144),3
Evening,POINT (-120.87190828785856 3634.110980866268),42
Evening,POINT (-120.91931930694882 4029.439321461683),31
Evening,POINT (-1200.1201094875485 1421.0251725618984),14
Evening,POINT (-1201.2040384496179 1232.178128632413),150
Evening,POINT (-1201.3143181160658 1233.1329357444545),5
Evening,POINT (-1201.7151450608358 3671.2831899696157),80
Evening,POINT (-1202.5939428354848 1414.0483232697836),16
Evening,POINT (-1202.908077992538 2978.8932789786945),22
Evening,POINT (-1202.908077992538 3011.6191473721665),4
Evening,POINT (-1203.1282162706905 5803.091707039801),34
Evening,POINT (-1203.325999283908 3671.350586916173),12
Evening,POINT (-1204.3182307560317 3671.3921011454195),40
Evening,POINT (-1204.3696370073103 5803.125741187252),22
Evening,POINT (-1204.5374687579838 5803.130342375536),1
Evening,POINT (-1205.2775483284704 1406.4798623224553),2
Evening,POINT (-1206.1447750352013 1274.9552840463434),64
Evening,POINT (-1206.5527313280495 3302.6974923643133),299
Evening,POINT (-1208.1791214198902 3671.553637948694),81
Evening,POINT (-1208.2348753683789 1293.0514818974757),1
Evening,POINT (-1208.3634022617985 5803.235232185387),33
Evening,POINT (-1208.5216286996836 1381.3567216137642),118
Evening,POINT (-1209.48349968706 5803.265940195819),10
Evening,POINT (-121.44669035841468 3842.356164738788),1
Evening,POINT (-1213.70612677937 4424.272244660386),6
Evening,POINT (-1214.5118016561391 4424.255711360136),72
Evening,POINT (-1214.556789749031 5803.405026886527),16
Evening,POINT (-1214.648287750039 4265.780606071256),45
Evening,POINT (-1215.0226206881084 3986.226566877643),177
Evening,POINT (-1215.1257814052028 3636.771970334341),99
Evening,POINT (-1216.1001143676488 5013.804592856668),18
Evening,POINT (-1216.1583691040935 3671.8874837567364),27
Evening,POINT (-1218.4136379266836 4265.644471790712),23
Evening,POINT (-1218.6155038120219 5803.516298487531),105
Evening,POINT (-1218.92375057743 5803.524749221077),6
Evening,POINT (-1218.9429004360718 5803.525274223676),332
Evening,POINT (-1219.244362625408 4265.614437370568),320
Evening,POINT (-1219.3575332548498 3387.294219472372),32
Evening,POINT (-1219.6433297230174 2421.3464609106913),9
Evening,POINT (-1220.2857220235774 3468.3200284965706),7
Evening,POINT (-1220.8186625213898 3318.570415044307),18
Evening,POINT (-1221.1246141400097 5803.585086955739),12
Evening,POINT (-1221.4051100732 4941.00338419236),299
Evening,POINT (-1222.4019020583357 2383.629318537573),135
Evening,POINT (-1223.198442562197 3859.1946531161548),54
Evening,POINT (-1223.284282151744 3932.790230938864),37
Evening,POINT (-1223.2900736607232 1211.1597726704617),321
Evening,POINT (-1223.8233043176735 3859.2191299354376),12
Evening,POINT (-1223.8782379583222 3068.6191349874207),82
Evening,POINT (-1226.0335983358684 2995.2562131754303),167
Evening,POINT (-1226.9601102478932 1580.2187574737213),319
Evening,POINT (-1226.993143660362 3218.864741533599),46
Evening,POINT (-1229.208372616523 1579.6575513518549),734
Evening,POINT (-1229.38388280528 5803.811518784451),4
Evening,POINT (-123.35249972036866 4029.8729736354303),7
Evening,POINT (-123.58223385748803 4029.9139178693213),17
Evening,POINT (-1230.803050882117 5803.85042596085),119
Evening,POINT (-1231.8320891955063 3500.083956993789),54
Evening,POINT (-1233.2893224694951 3614.432935521804),2
Evening,POINT (-1236.0559898872557 5803.994437813867),321
Evening,POINT (-1236.3228798101059 3672.7311519366017),20
Evening,POINT (-1239.3778734690761 5984.693135279914),70
Evening,POINT (-124.35389698125397 1562.0822355256107),69
Evening,POINT (-124.39440406673097 4742.103952506261),22
Evening,POINT (-124.73621313112767 3842.1278705518025),15
Evening,POINT (-1240.9819320076747 5804.129484889783),4
Evening,POINT (-1242.5037639597476 4264.773505792359),321
Evening,POINT (-1242.7012175943842 5804.176619932274),29
Evening,POINT (-1242.795190781376 5804.179196252459),16
Evening,POINT (-1242.8666545672882 5804.181155466573),12
Evening,POINT (-1245.3004108503508 5209.150235252161),20
Evening,POINT (-1247.4189087570446 3673.195401562188),64
Evening,POINT (-1247.7497565185258 4423.891101376847),3
Evening,POINT (-1248.2703453297345 3371.9284075577593),66
Evening,POINT (-1248.3180141611274 3372.5519290174166),73
Evening,POINT (-1248.3887763284426 3673.2359801024068),54
Evening,POINT (-1248.4291860214412 5804.333654945701),54
Evening,POINT (-1248.4609240293742 4423.919486619871),48
Evening,POINT (-1248.8302556054412 3294.5077699246044),206
Evening,POINT (-1248.9951865820206 4423.940810952275),9
Evening,POINT (-125.17767512057193 4109.813502444581),13
Evening,POINT (-125.46308864446169 4109.858733046767),15
Evening,POINT (-125.70019668913419 4109.896308489925),2
Evening,POINT (-1251.0133378188461 1574.2146456975256),316
Evening,POINT (-1251.1994497922349 3058.3861538128076),146
Evening,POINT (-1251.2212602150184 4264.10726070474),321
Evening,POINT (-1255.9884588153034 2656.5856054895225),355
Evening,POINT (-1257.0083898790026 3232.233437428542),54
Evening,POINT (-1257.042124673063 5804.569782807442),321
Evening,POINT (-1257.3806358859767 4263.604962450346),1
Evening,POINT (-1257.449510592312 4263.599345704979),321
Evening,POINT (-1258.012243869063 5804.596379092478),9
Evening,POINT (-126.5455933712922 4742.071755783108),6
Evening,POINT (-126.76299549884891 4110.06473439179),12
Evening,POINT (-1260.7710995095103 3673.754047325211),26
Evening,POINT (-1262.4682799724762 5804.634125773272),4
Evening,POINT (-1262.491757792136 1571.3494286978337),425
Evening,POINT (-1263.2974906352674 3673.8597496570837),30
Evening,POINT (-1264.2298486353518 1570.915570427917),6
Evening,POINT (-1264.4692739162892 3673.9087762009117),29
Evening,POINT (-1264.5800762062731 5804.574488963742),17
Evening,POINT (-1264.597452491546 3673.914139097481),21
Evening,POINT (-127.14083224831818 4110.124611665556),321
Evening,POINT (-127.228089808867 1666.2906234137386),121
Evening,POINT (-127.26644726325719 3412.3933194691285),7
Evening,POINT (-127.57128248002726 1666.3142887510726),2
Evening,POINT (-1270.0247218990608 5804.420732984378),36
Evening,POINT (-1270.3093813019264 3561.517053158084),68
Evening,POINT (-1272.3665491511485 5804.354600133324),321
Evening,POINT (-1273.8274991456842 3585.3251543025763),63
Evening,POINT (-1275.1089501177444 5804.277155140534),1
Evening,POINT (-1275.125444024724 5804.27668935507),45
Evening,POINT (-1276.5212053944783 3603.4710829103824),73
Evening,POINT (-1279.1060958673977 5804.164276342891),321
Evening,POINT (-128.62267701126834 4030.8122479389826),1
Evening,POINT (-1282.22533147493 5993.2862911883285),202
Evening,POINT (-1284.1412684067568 3674.731837867424),94
Evening,POINT (-1284.3128506829653 1567.5417270191635),164
Evening,POINT (-1285.2922463067762 3278.6449287620358),53
Evening,POINT (-1285.597147397931 3674.792750765163),8
Evening,POINT (-1286.1752292640297 5803.964645073938),73
Evening,POINT (-1287.0236360976435 3232.233437428542),52
Evening,POINT (-1287.1258638813247 3675.0098989406138),2
Evening,POINT (-1287.2641353761978 3677.7545532142435),60
Evening,POINT (-1287.2680410579444 3677.8320800111196),168
Evening,POINT (-1287.2714827047066 3677.900395830682),50
Evening,POINT (-1287.5424170588574 3683.278374376984),207
Evening,POINT (-1287.8302229671544 3688.9912490147253),99
Evening,POINT (-1287.9289074920061 5803.915121463286),13
Evening,POINT (-1288.7467350127608 3707.1837817931873),3
Evening,POINT (-1288.973858577208 3711.692127221675),2110
Evening,POINT (-1289.2752815572362 2580.796667517613),6
Evening,POINT (-1289.2772170842297 5803.877045402228),5
Evening,POINT (-1289.3447630528544 3719.0544874472994),28
Evening,POINT (-1289.5785799183805 3723.6956932128205),74
Evening,POINT (-1289.7259172919717 3726.6203028907835),132
Evening,POINT (-129.50244413636517 3841.8176647533046),6
Evening,POINT (-1290.0217994186726 3732.493488425408),3
Evening,POINT (-1290.6987763545005 4260.88786177472),1
Evening,POINT (-1290.7808880583605 3747.561206329913),84
Evening,POINT (-1291.2878242639026 3757.62376205968),272
Evening,POINT (-1291.4042410144798 5803.816978564829),8
Evening,POINT (-1291.672228039491 3765.25407998194),1312
Evening,POINT (-1292.276742397422 5841.29533162773),14
Evening,POINT (-1292.4459832673115 3550.9715000949054),189
Evening,POINT (-1292.6613475134293 3786.3879774083366),124
Evening,POINT (-1292.7647140779552 3788.690619400577),6
Evening,POINT (-1292.7878857907087 3789.2068033239084),311
Evening,POINT (-1292.791831074787 3789.294690319397),532
Evening,POINT (-1292.815929367252 3789.8315151662437),212
Evening,POINT (-1293.381666016495 3802.434129668051),14
Evening,POINT (-1293.4945777288062 5803.757947768915),4
Evening,POINT (-1293.557904168407 3806.3600932626487),36
Evening,POINT (-1293.6675471789124 3808.802552304437),72
Evening,POINT (-1294.1382769432041 3819.2887489505842),23
Evening,POINT (-1294.4803159461294 3826.908169937749),3
Evening,POINT (-1295.022122996471 3838.977717489511),31
Evening,POINT (-1295.169467510658 5803.710649132187),2
Evening,POINT (-1295.3823187093735 3847.0016058499145),10
Evening,POINT (-1295.437477582791 5959.376057438587),11
Evening,POINT (-1295.6783722173868 3853.596632419944),39
Evening,POINT (-1295.846277125231 3857.3369607676877),59
Evening,POINT (-1295.8795184947428 3858.0774610800327),29
Evening,POINT (-1296.0281376817702 3861.3881716804262),16
Evening,POINT (-1296.7686878848117 1215.8689091608553),1
Evening,POINT (-1297.4594550995182 2424.3399368993296),18
Evening,POINT (-1298.55534073728 5803.615032579094),6
Evening,POINT (-1298.6546620514243 5803.61222776005),18
Evening,POINT (-13.492868342396498 4736.220738826519),5
Evening,POINT (-13.979159950469388 4736.28159553292),321
Evening,POINT (-130.142322607083 3841.818852497939),13
Evening,POINT (-130.54954844790495 3841.8196083919556),13
Evening,POINT (-1300.3785005031705 5803.563546820212),39
Evening,POINT (-1300.5005974065157 2680.4859984349114),107
Evening,POINT (-1300.5005974065157 2697.286250559213),60
Evening,POINT (-1301.8599163843412 5803.521711857478),4
Evening,POINT (-1302.2223592797159 5803.511476524366),27
Evening,POINT (-1302.2311198202112 4259.947396977417),34
Evening,POINT (-1302.4820872610612 3512.059329801013),18
Evening,POINT (-1303.2969263511116 2567.8791799505025),133
Evening,POINT (-1303.8414967071467 4259.8160704368),1
Evening,POINT (-1304.345227084342 1567.2944715963827),63
Evening,POINT (-1304.865891237236 3861.6601643738563),187
Evening,POINT (-1305.0051830365271 4259.721171595889),321
Evening,POINT (-1306.255660848561 5995.335829470548),1
Evening,POINT (-1308.2086635645965 5803.342424187443),1
Evening,POINT (-1308.782036561594 3296.1784824962406),65
Evening,POINT (-1309.4006750382284 1567.2320732619994),54
Evening,POINT (-131.1465886617557 4031.262070635049),2
Evening,POINT (-1313.5020373780435 5803.1929401033085),90
Evening,POINT (-1314.497542116619 4258.947067912217),18
