currentLocation,participantId
POINT (-256.6029739968756 5015.586501883844),254
POINT (-3916.0953360485632 5960.891116793708),15
POINT (-259.82892743516595 5024.017637727654),699
POINT (-238.5650562824314 3868.714381294828),131
POINT (-219.3340607349177 3883.8624484338693),174
POINT (-248.92646606013832 5030.6668629004935),180
POINT (-240.5178127163376 3871.4519494048086),936
POINT (950.8087681085772 3985.9182887200377),146
POINT (-3208.002517396315 6476.369373898968),525
POINT (760.1265104227922 921.7418093633847),199
POINT (-236.61858137123133 3883.0158778984323),681
POINT (-218.78846473663882 3891.2672185943306),702
POINT (-508.45532906456697 3548.2584910698197),620
POINT (-514.9221591914188 3561.930557094988),322
POINT (-216.7580141571343 3888.665183501174),151
POINT (-233.40675998294432 3877.6721246011703),556
POINT (-490.1815994606174 3547.6320180643447),570
POINT (1815.5946181496956 4332.267308371052),6
POINT (-1698.214592494293 3870.3795740126507),496
POINT (-3799.043960058668 6377.338503915468),739
POINT (1812.9513414333778 4352.723757424225),630
POINT (-239.65237894221784 3863.876715890402),287
POINT (-253.15774756050087 5016.631204253596),588
POINT (-3217.194888970239 6475.955484416717),731
POINT (-224.60266415146305 3888.9601270247504),93
POINT (-234.0758151912574 3882.696889395759),125
POINT (-217.110589830393 3887.6969483012517),359
POINT (-1521.5513570632884 3816.110442957694),633
POINT (-3795.4913082929675 6365.788906130369),699
POINT (-3916.2821813224705 5956.888229730562),770
POINT (-1524.5532468420267 3814.8592162820632),820
POINT (951.7939535339109 3982.264157452923),131
POINT (1796.250918295122 4333.487240971282),146
POINT (-221.31467109230167 3865.2401229741836),840
POINT (-248.4532130617066 5022.811141699138),519
POINT (-3900.4420583690808 5982.177257924404),310
POINT (-222.12754544553636 3892.254972129915),750
POINT (-215.85159487785398 3877.0096319775275),619
POINT (-248.92447637195116 5014.690376435468),938
POINT (-222.0582754293846 3873.3004961508605),360
POINT (778.6287008632119 935.8730453515343),135
POINT (-499.95314374688047 3540.541014714646),23
POINT (-238.82224691279816 3871.1078306463355),15
POINT (-492.2637881399067 3562.18412452455),151
POINT (-3788.987329480809 6381.135593550294),702
POINT (-512.1243553540037 3556.5348189218084),681
POINT (-1612.2720308456132 3882.5686037380674),479
POINT (-3902.565532684562 5965.703817321777),699
POINT (-253.87054462128623 5031.959554987118),174
POINT (-1532.4430945041327 3814.8899170894265),556
POINT (-228.84509531449777 3887.4701289595046),739
POINT (-1538.4527197298348 3825.6294085598684),322
POINT (-270.75886454739594 5015.3074132212705),199
POINT (-214.3899821737698 3882.5697563472454),180
POINT (-268.61229907762595 5030.793995949008),125
POINT (-256.7320047724805 5013.365337775718),343
POINT (-230.1605070406859 3890.1350795614517),441
POINT (-1700.8012414896887 3856.9179231819485),291
POINT (-1716.811182493245 3851.2864305443954),930
POINT (757.7838348013883 923.2458839901902),131
POINT (-257.70545311968453 5040.491078330281),310
POINT (-3222.8262447293014 6476.708934022176),770
POINT (-492.6163638131654 3561.215889324628),359
POINT (971.73774614221 3982.083873858442),588
POINT (-267.9142203140119 5014.448600530979),731
POINT (-3891.6610816213474 5956.3765560295915),938
POINT (-497.564049412157 3546.8194371742366),360
POINT (-3784.1155939195082 6364.5824101018525),519
POINT (-267.9432438693129 5025.769231154419),556
POINT (1799.5787793418597 4328.3290350773605),199
POINT (-497.10353756796815 3556.4751218136607),496
POINT (-1699.1318514511972 3866.3160436918038),633
POINT (-3801.0621951802545 6376.113612804735),618
POINT (-3792.3264101897066 6382.123347085879),750
POINT (776.1423492306282 925.6800826570761),6
POINT (-1706.0434349498075 3861.553216091088),479
POINT (962.3529110395593 3984.504705355196),128
POINT (-1612.5219751874085 3897.290544670188),417
POINT (-3810.8204838992997 6375.153581302593),939
POINT (-1613.0059318455887 3898.573860430797),441
POINT (-487.1564495716653 3548.266092622141),751
POINT (-1524.7911017510248 3802.3320158815945),922
POINT (-3893.5126643692147 5975.646627771686),929
POINT (969.3989660587054 4000.4826832669182),8
POINT (756.5497904644646 932.4778697763346),173
POINT (-1605.5365344736695 3883.1623598209862),321
POINT (-488.63869886419866 3552.939734062483),540
POINT (967.5091912468331 4005.154805172982),630
POINT (-3898.7461931761977 5970.665627040909),1007
POINT (-508.2302608744489 3549.527480602897),503
POINT (-1597.521250282748 3882.551857910314),570
POINT (-3911.6870574080917 5953.621894377178),951
POINT (772.3113546004022 941.7154750098686),178
POINT (-218.56031554743308 3877.6420053333554),358
POINT (-3892.3589279376374 5981.622949175995),646
POINT (-1689.9511092281032 3858.1350156981002),305
POINT (-1520.7991740692644 3828.601079478541),374
POINT (-1616.9202677879337 3887.3032444256),396
POINT (-1623.6514488115956 3882.9908547249743),472
POINT (-1517.6697840534541 3808.36547994281),495
POINT (-3805.381332764864 6363.998955710435),710
POINT (-3801.318649224926 6359.168068747826),861
POINT (-3914.9982705269363 5975.411261931664),870
POINT (972.1972720329965 3992.3276153625043),81
POINT (-262.0926444053346 5018.028022397349),120
POINT (-265.98569246815947 5015.325200064678),138
POINT (-221.35872649301032 3869.2709572033605),139
POINT (971.0249490814247 3997.4122245919643),174
POINT (-500.75039850832974 3545.1082353608317),338
POINT (962.8609391060621 3997.658154921655),654
POINT (-3782.394824613033 6381.729231588778),759
POINT (-3901.443779286886 5971.911088717797),866
POINT (-3782.245247793585 6369.763079866289),915
POINT (-1612.2339908016047 3899.3075863145905),926
POINT (-3912.5004390795984 5958.590417420666),949
POINT (-3209.3317740693265 6487.832188947207),979
POINT (951.8378326400397 3993.2053760450785),54
POINT (1818.9466506393112 4328.660375586183),243
POINT (-1523.2916088156553 3820.1228724220045),266
POINT (-1700.7573242054846 3871.618631598496),274
POINT (-1534.288605302118 3821.313196192153),373
POINT (-1533.6279409411427 3820.1778317609123),447
POINT (-1525.2237523864228 3830.1067656061455),449
POINT (-1519.3702437168022 3807.221615008737),501
POINT (-3891.732132988512 5978.907276988664),517
POINT (-3895.3970419559364 5966.9163987563215),591
POINT (-3218.9901530491375 6483.452315235723),998
POINT (-272.4074648251418 5015.957022675614),226
POINT (1816.334021694297 4339.573696165521),237
POINT (-1706.5962670929325 3877.0333493715293),355
POINT (-487.68286480922563 3545.574023754057),427
POINT (-1531.2448010935352 3807.3940741917195),473
POINT (-1697.6561743649208 3857.260312803999),659
POINT (-3890.2022195705 5972.920892918228),673
POINT (-3214.528925694031 6490.722045897071),700
POINT (-1694.4099321430422 3880.023389118726),819
POINT (-3807.2611836590013 6380.453989150536),841
POINT (-3889.9214801972653 5963.935789998343),906
POINT (-3219.9113867327874 6477.711059432683),967
POINT (-3903.8303853217576 5980.7350107010425),1006
POINT (960.4846522195035 3982.220319434169),13
POINT (-3195.859663494695 6500.5759354020165),160
POINT (-1691.6464195456897 3869.240417501726),272
POINT (-491.0549511387327 3547.334604719104),387
POINT (-220.15902952307522 3872.765597919493),424
POINT (-505.8289845340685 3551.7174799336663),463
POINT (-1518.195617404768 3814.9223385759306),467
POINT (-495.85831467788034 3551.6550114221877),488
POINT (-3794.3842295978893 6356.633758415945),525
POINT (-1529.8023948946397 3829.425880544043),582
POINT (-262.7866326261462 5033.256243574252),610
POINT (-272.24414737858353 5031.485651587463),622
POINT (-3801.7284247528473 6380.762505364361),848
POINT (-1510.0654491326607 3812.242089996278),991
POINT (1819.862937127153 4324.499714513482),41
POINT (1810.6959087202106 4350.484382026255),113
POINT (-271.97082406396504 5034.204815453299),184
POINT (-512.1030398663885 3537.4514653690026),317
POINT (-1529.6101550090832 3811.890592518961),370
POINT (-212.71448736999847 3891.246378394846),393
POINT (-1688.9762750500715 3874.680229805386),418
POINT (-3203.525490817751 6483.905207744411),466
POINT (-499.2136299094281 3542.9427123380356),545
POINT (-1534.261744843454 3828.962907972869),737
POINT (-3791.513535836472 6355.108497930147),840
POINT (975.3207694554898 3996.235774462331),56
POINT (-222.28342244425102 3890.5121204802194),75
POINT (-216.41749932154758 3883.556451022049),186
POINT (-490.2904815656201 3559.3050279184204),286
POINT (-3905.305469209811 5980.61740778439),324
POINT (-1703.5227079178037 3855.99440111103),330
POINT (-3209.7910658337582 6498.048688968413),351
POINT (-1610.3163509389863 3887.4413818776015),362
POINT (-1615.674227121167 3874.6985860194022),395
POINT (-1697.5967169869639 3868.4102154535553),464
POINT (-3214.758471170436 6492.174346352477),608
POINT (-3910.4864165441186 5965.530978058474),706
POINT (-239.51574722269436 3876.7082822280845),722
POINT (-3908.515243246306 5958.380091657403),754
POINT (-3783.6626985428447 6375.976892305461),795
POINT (-3221.330283700457 6476.813338949247),910
POINT (-3199.438090656102 6473.965640439018),921
POINT (-3198.2051450281783 6476.197260321206),938
POINT (-233.53864535451382 3868.8837548622587),940
POINT (-512.5740005389997 3548.9331967739854),69
POINT (958.5064759898611 3986.384523774922),158
POINT (960.4916968434529 3984.762436535857),235
POINT (-236.39861544974426 3877.3961467664953),246
POINT (-219.1825950165314 3890.953420622473),275
POINT (-3217.6954612331983 6484.781416079186),282
POINT (-506.9299123928691 3560.7042155530753),401
POINT (-1596.9063320261325 3890.810929096625),430
POINT (-495.5539452622391 3564.1874175287785),445
POINT (-509.4777752438381 3558.446514813585),456
POINT (-3909.1383680805843 5962.5365626889015),592
POINT (-3917.7933164300875 5958.249789509067),597
POINT (-233.72305039624516 3871.61023139501),606
POINT (-3782.212293590997 6363.540250937856),679
POINT (-3793.554232273091 6375.715815459747),804
POINT (-218.79639788644786 3883.0585970227794),835
POINT (-3791.307578689108 6367.667515622671),844
POINT (-1510.7035963499138 3810.532165284315),873
POINT (-3897.31103788444 5963.775098975357),928
POINT (954.8336780944151 4000.982079088036),71
POINT (-259.97991172610034 5029.2565574027285),149
POINT (1805.5500593945817 4349.759369695367),176
POINT (760.1532231729477 936.4426136668365),247
POINT (772.2060209408559 922.1478233133372),250
POINT (-1529.5611630544563 3829.8926262825294),307
POINT (-3792.394385630282 6355.136606178433),343
POINT (-1601.8500362437685 3880.1780952508575),390
POINT (-1699.316545890273 3865.483427035357),400
POINT (-1704.0437722932295 3854.5126576725656),435
POINT (-1511.025062250013 3807.046106174188),442
POINT (-225.8593044295342 3863.314141536073),477
POINT (-1610.9019453612036 3887.246869492742),481
POINT (-3805.05416832442 6375.479576917604),482
POINT (-3891.2044714808876 5977.610808046143),594
POINT (-238.73024536244083 3867.726282129836),686
POINT (1813.6225231313294 4353.955498594124),715
POINT (-226.1462987802112 3871.0946077156855),775
POINT (956.0879590886204 3977.6662074708915),779
POINT (-3223.8270213810633 6495.595017823622),788
POINT (-258.094646764951 5025.5506111789955),851
POINT (-3918.063564379656 5973.152748733814),857
POINT (-217.3992943873894 3873.3121616327553),994
POINT (-224.37901110175014 3889.4349297157237),1003
POINT (-272.45543498934785 5028.484552376346),39
POINT (-1617.658203615746 3875.8811095797637),79
POINT (978.3575352431843 3999.4135724323232),88
POINT (-235.43275196548166 3888.6554299170243),210
POINT (-511.963937860929 3560.2785913351577),218
POINT (-1615.634021781637 3875.04852400763),398
POINT (-1611.1857762128839 3886.0801584872393),452
POINT (-511.41760208104256 3541.8662952935765),484
POINT (-497.6861562979836 3539.748120980594),498
POINT (-3899.9973108515796 5954.266654938007),528
POINT (-1520.6474461565103 3810.570673368292),579
POINT (-265.20370384506083 5036.624554505108),637
POINT (-225.58829715780104 3870.6261143130655),705
POINT (-3797.211468373537 6377.789685521459),725
POINT (-3909.6139528884823 5961.3321677053045),749
POINT (-273.93395926169393 5025.335708881982),753
POINT (-3910.219098875298 5974.959078931425),763
POINT (-1519.6806081643003 3824.94707757775),918
POINT (-1697.0040878578993 3878.3113256918273),984
POINT (-3914.8412935327597 5953.597509864035),1005
POINT (-216.9763377206335 3872.4174948032346),89
POINT (964.1804719209183 3984.6030455358214),92
POINT (-252.55745726688906 5031.008470996409),188
POINT (770.0346370363395 938.6776077047244),220
POINT (-1696.9258719296595 3852.581406206442),292
POINT (-1527.5257598405553 3801.4290755802112),311
POINT (-234.57142962070714 3885.8347726675847),378
POINT (-233.46210722037708 3888.1741851586144),409
POINT (-499.20729005288234 3544.0166660508094),416
POINT (-3202.356157633084 6473.906769874262),455
POINT (-254.11516076269126 5026.340016858776),490
POINT (-265.9411733460916 5032.0572084006335),505
POINT (-3220.40489955628 6484.274907440822),520
POINT (-221.80800894694832 3879.548492246552),551
POINT (-3200.7191743479725 6500.244361856534),569
POINT (-3902.852505388057 5971.405301092178),586
POINT (-1610.6711543569747 3900.5376197903356),587
POINT (-3917.8612253973406 5961.289135708974),593
POINT (-3803.485264192334 6371.386425716969),616
POINT (-3212.8873022646635 6484.714214075896),650
POINT (-1689.553323659039 3857.2681578974048),652
POINT (-264.3089361699483 5011.668063780577),685
POINT (-274.62226852975266 5015.355246235706),711
POINT (-3198.816145612476 6502.433457826688),814
POINT (-255.50122003703174 5038.30880264298),912
POINT (-262.8093739415375 5036.306496355035),917
POINT (-3785.635974067049 6376.4891230490675),945
POINT (953.1040036318145 3987.2029658145357),65
POINT (-226.01047226158525 3882.0528290851566),97
POINT (1824.2228488162914 4343.84441016452),168
POINT (773.7289031479138 936.1665900985226),196
POINT (962.9666277096019 4006.096986152649),221
POINT (975.7727606009951 3985.6311668153667),229
POINT (-3210.309777000536 6485.382615300752),259
POINT (-1536.7080151508037 3805.2771284238847),289
POINT (-3788.1661488522673 6381.976361391164),300
POINT (-1519.9053918449424 3809.0227776693823),303
POINT (-1608.6082317780538 3889.330498959629),349
POINT (-492.3455503984849 3564.4448182732913),386
POINT (-214.27661556532854 3868.8940253832207),391
POINT (-1711.6832051048877 3874.0207761820375),394
POINT (-1510.3148846332235 3809.141331791358),397
POINT (-1615.2740122530186 3897.6747331283),421
POINT (-502.56536508429514 3541.566362691417),436
POINT (-3215.724376492328 6475.9046958008175),480
POINT (-1601.7587304840956 3879.8501121618124),508
POINT (-3915.330426261377 5959.214908491629),560
POINT (-214.5921113743595 3875.8067873651803),714
POINT (-506.34195988946 3541.1814518499773),741
POINT (-3914.136306527338 5979.395464350454),765
POINT (-498.59917837073596 3559.5332630124326),776
POINT (-3790.8482314263133 6376.989785346204),881
POINT (775.596551573813 940.5258849582337),51
POINT (969.7496520485265 3993.467310252737),70
POINT (-219.15497946941178 3869.653402928475),108
POINT (956.5078360440541 3998.2202243614156),165
POINT (1816.3064123162553 4332.212847409172),182
POINT (-3214.1929046853534 6485.496727308851),327
POINT (-492.7334391710493 3556.926353948849),331
POINT (-1616.0308437451488 3873.061492769003),353
POINT (-1695.4417357219359 3869.0456197218173),371
POINT (-228.35414596061338 3892.7852678410836),388
POINT (-1539.1007577408336 3806.029673106026),411
POINT (-1709.4365839348538 3857.9992115117825),443
POINT (-1596.1985547878662 3898.692958411038),448
POINT (-509.6504407550938 3556.854602598174),462
POINT (-3891.0641039970496 5953.49172081638),538
POINT (-3913.2942587726498 5977.668102783395),600
POINT (-1603.3685236356844 3900.307002297935),674
POINT (-502.6832987658758 3541.554833064938),696
POINT (-502.9198407543412 3550.067682333862),752
POINT (-512.8686223444848 3541.974618547752),985
POINT (977.0261568100088 4002.4203424397924),223
POINT (-3782.32507514027 6359.223132213492),329
POINT (-496.51088503155034 3564.916159316589),336
POINT (-1526.6736391856941 3827.9153875103907),365
POINT (-1518.4772453955445 3812.3087599937667),381
POINT (-1691.626394078734 3863.0742606106055),389
POINT (-507.1014606955003 3541.8975155031403),434
POINT (-1705.0915363868353 3858.5697536963703),439
POINT (-1705.8033811720895 3854.2126832756703),451
POINT (-1537.0399847255014 3802.6298347090137),502
POINT (-237.3058814297382 3874.9965567250993),550
POINT (-3797.476373829834 6368.96612891997),561
POINT (-3903.9896114762587 5979.249866579313),649
POINT (-3801.6112097485316 6380.857160016462),665
POINT (-271.5216886478028 5025.639001016456),677
POINT (-1527.9190285272346 3809.517437845941),721
POINT (-3903.1650828217557 5958.8260202937045),724
POINT (-3796.798790602976 6380.794684011305),732
POINT (-1616.5145311983877 3880.7692969059985),833
POINT (-3210.376101218989 6498.286529997625),878
POINT (-3221.881997407301 6497.682243357411),888
POINT (-3800.8435162428163 6374.351421969606),894
POINT (-3810.716677460508 6361.320324360772),936
POINT (-273.91433026683336 5036.856635059409),953
POINT (-3902.746931737482 5982.646872199699),989
POINT (-3810.780281512868 6377.308938716672),990
POINT (-487.136320406796 3545.0307583592926),1010
POINT (965.1359838376864 3986.057285594687),16
POINT (-257.34341765448846 5016.253711943527),52
POINT (-250.057129496262 5028.370953499392),66
POINT (979.2692435116634 4004.632549896553),166
POINT (-274.1876120785221 5014.406197082927),179
POINT (-260.6268762923906 5023.300100452968),194
POINT (1805.3052957922453 4349.5102890830485),213
POINT (-3209.247879906218 6482.567950878637),339
POINT (-3912.8756215235353 5973.75088398537),369
POINT (-1526.7833879661812 3819.2172451043803),491
POINT (-488.7829257453598 3553.5788281253535),555
POINT (-3908.1364195718493 5976.028523996143),618
POINT (-3916.46384387129 5968.407481295016),648
POINT (1811.3958188649674 4346.25878808984),684
POINT (-500.4333627945738 3557.96849338254),730
POINT (-1594.4293679304658 3896.005141132257),777
POINT (-247.03696140473076 5016.440572911585),843
POINT (-3801.713528097826 6366.5559750155635),890
POINT (-3902.0251163054727 5953.134158283491),941
POINT (771.8356839137388 929.0295960819383),970
POINT (769.9778872459137 923.477381251958),993
POINT (-1604.926587090627 3889.5771197390654),1009
POINT (1815.9257265764954 4352.283847978321),29
POINT (-3800.791666417615 6371.303084504356),53
POINT (949.453576191768 3999.744544098391),136
POINT (-219.19659788093884 3884.3797429669394),147
POINT (-512.8730267523337 3550.9933719336973),159
POINT (-3897.768543563396 5960.80787401947),163
POINT (976.4016618674946 3997.3650947124693),193
POINT (970.2738762705803 3978.4433654147283),236
POINT (-1527.8879063648026 3805.005074671673),252
POINT (-214.85445827084783 3869.002152609501),296
POINT (-219.41863008353468 3866.084258561991),320
POINT (-1531.053985227221 3808.9702093516744),326
POINT (-3901.93104707006 5959.457576860913),333
POINT (-1608.074479860577 3871.976390222953),348
POINT (-1615.6125275387253 3881.5166174284177),399
POINT (-487.6376074777149 3549.6528116008744),470
POINT (-233.19559983635614 3881.2639440829757),474
POINT (-219.85924182149566 3892.919416225985),533
POINT (-3207.1448853054753 6492.121888216107),578
POINT (-1531.1679115275083 3802.0284755454163),624
POINT (-491.76068634660123 3556.3966557565086),704
POINT (-215.32462109458837 3872.7989007574183),718
POINT (-3803.5766011718133 6356.219868933694),731
POINT (-235.0815967605184 3892.040266442443),738
POINT (-501.0705404636353 3547.255564346789),805
POINT (-1532.7039548104951 3824.1107793433366),927
POINT (-240.1943535841478 3863.8630373220294),930
POINT (-238.1391315918657 3869.476971213323),935
POINT (-3224.115000142878 6496.395086768585),977
POINT (-3914.250394920446 5963.70287210896),980
POINT (-3897.3705164185144 5971.499110822144),996
POINT (-261.3481167473607 5039.47979228373),1000
POINT (-222.6757555817592 3881.9003081914448),21
POINT (-489.76979014165863 3555.558428092489),22
POINT (-218.30517488865857 3881.738930238044),36
POINT (-252.94596165355807 5037.086085306036),38
POINT (1812.7463196557856 4342.61510834339),119
POINT (1818.0809697822792 4342.460271065511),135
POINT (1823.5163052048467 4336.415677165607),167
POINT (-226.78918368434702 3864.528372501485),202
POINT (779.1119962422582 922.7742960797638),217
POINT (964.2449113581335 3988.408695636864),224
POINT (961.173657576669 3987.1956371663996),245
POINT (-3792.2653548546773 6357.357770286559),254
POINT (-1537.8147684177763 3817.155114493641),258
POINT (-1530.540665326246 3822.2130280151673),261
POINT (-267.36495685352673 5029.803649414112),284
POINT (-1538.7356755632557 3809.845765630442),294
POINT (-1535.550417859245 3822.112479911799),314
POINT (-265.2406647014932 5015.868887743534),332
POINT (-3792.414553543534 6380.86962213858),340
POINT (-3908.038311851825 5977.607852216123),347
POINT (-1520.2996666105255 3800.990530982661),453
POINT (-1603.1793340005167 3878.442603389826),501
POINT (-261.844768976751 5018.2526668566325),548
POINT (-3201.5087024759678 6499.672239384406),557
POINT (-217.1950216965211 3874.928256839169),660
POINT (-3895.5610839451674 5955.954816554504),676
POINT (-3797.5727987683113 6361.14146252362),678
POINT (-3793.6079767094525 6376.125255401594),690
POINT (-236.46303483969243 3876.4166200621876),697
POINT (-496.44844404670744 3554.4935355267417),713
POINT (-3210.240364872297 6485.00133817412),747
POINT (-220.0684524651918 3868.887848005008),797
POINT (-3217.497339901962 6474.566225288404),863
POINT (-254.41026432739457 5029.827565655881),957
POINT (-3786.6772847646725 6373.644109344326),959
POINT (756.1046943409528 945.1845176495923),966
POINT (-270.2820217544495 5018.666693447549),1001
POINT (-3888.7381033387524 5964.8115397607635),11
POINT (-220.77315779519608 3878.334774886565),35
POINT (-3810.0541391965817 6353.662810873084),123
POINT (761.0168181766255 935.6153391231793),132
POINT (-1610.9997080286482 3890.6225322629207),150
POINT (976.869606442096 3997.3864385126017),164
POINT (1807.7593137867013 4330.342673249399),175
POINT (-235.5734249052275 3878.1776964877618),190
POINT (-232.33961089211797 3880.1900731302244),197
POINT (-1524.260202332101 3804.5572665446625),323
POINT (-226.0338004643093 3879.540288975307),357
POINT (-494.06608953020543 3551.1609463567315),358
POINT (-1538.8856171287946 3802.783189639636),429
POINT (-1601.403492182997 3888.784686511296),493
POINT (-1608.7410324211664 3878.204741278105),563
POINT (-3810.9893163516267 6358.418212837844),566
POINT (-225.70905715635882 3875.2865565186908),687
POINT (952.1021040518372 3980.50025619818),689
POINT (1811.135352664077 4338.993089897235),692
POINT (-3911.675677253171 5963.519436097607),708
POINT (-491.0894249014796 3548.2544914151754),716
POINT (-3898.592704531162 5971.436575302519),727
POINT (-262.370056412207 5019.1952301764895),755
POINT (-235.79741918287607 3886.4977899770447),778
POINT (-1695.8739419007056 3867.0364943808295),803
POINT (-3803.5280380850204 6382.898412470123),812
POINT (953.0282479526127 3985.1870898128827),963
POINT (-250.66778975622663 5024.230334070324),968
POINT (-256.26181896567874 5011.201718999035),1
POINT (-511.4165458092073 3552.911753711535),40
POINT (1806.0691665187321 4351.531432822343),50
POINT (-1708.53300418358 3867.277390505847),58
POINT (966.3865259047029 3999.3020201485583),206
POINT (950.397426312978 3977.0947768607234),212
POINT (-261.5743635173499 5017.050012488865),239
POINT (-239.716943614645 3886.656418172579),273
POINT (-1517.5229136892553 3813.233940460665),277
POINT (-1513.014163725443 3822.6880357335554),283
POINT (-1619.4207149347474 3889.145050893999),293
POINT (-225.60187101951192 3872.30594999812),308
POINT (-250.74390414620459 5015.954217728212),313
POINT (-3783.81471669808 6365.564595684012),316
POINT (-3804.5660091125596 6378.415026742447),375
POINT (-220.73636282669926 3876.4140380800486),408
POINT (-3797.7785897632484 6376.764180629951),446
POINT (-239.56007823108104 3873.2253649215436),476
POINT (-3898.045375098749 5960.624840116964),486
POINT (-1520.634098106384 3820.173973278541),496
POINT (-232.4452199086854 3890.2205266929086),518
POINT (-3781.629148756241 6370.184338794776),536
POINT (-222.84094308191223 3892.927158897646),583
POINT (-211.6677468348416 3875.1815954980275),590
POINT (-486.8098326528145 3554.8307586222463),675
POINT (-232.81950345378195 3880.5947206339165),717
POINT (-216.9325613382159 3876.6727670277996),726
POINT (-3788.672861449042 6379.017869809322),736
POINT (-223.91017633422348 3881.7747831714223),742
POINT (-3899.4006345813013 5982.038258277287),750
POINT (-238.232955314214 3869.996390236444),769
POINT (-273.5784360814313 5016.003733920344),783
POINT (-249.47321535744135 5037.246276179885),784
POINT (-3207.834803941882 6486.482353686292),809
POINT (-272.0426578177604 5025.328969582126),869
POINT (-3901.5443729895264 5968.751729468066),908
POINT (-1603.652702311398 3887.3371971303727),976
POINT (956.4151759594322 4004.628419182419),2
POINT (765.5361313973874 926.0398294935233),55
POINT (-267.7369445712878 5016.243006100671),115
POINT (974.5463952663217 3989.9476122506703),153
POINT (1821.5426700696103 4339.44573665032),219
POINT (1812.0704149590517 4338.826196231159),232
POINT (-235.38239709734296 3878.915584061788),260
POINT (-495.402549589646 3548.426830914238),318
POINT (-227.98820916742872 3867.753014453709),325
POINT (-226.25925345835728 3863.6190857214124),419
POINT (-1537.3199543369299 3814.2726991708014),422
POINT (-1693.3025439354292 3874.4384009893006),432
POINT (-1706.2755949247178 3861.092411423793),450
POINT (-1712.8887712795363 3865.4843984832896),468
POINT (-1618.0232012265335 3877.2003540558094),492
POINT (-218.63344953226564 3871.1476874545538),495
POINT (-3899.2240364759773 5967.910580802293),527
POINT (-3783.9710581845343 6363.144044815671),529
POINT (-3795.081612922851 6381.2481945798145),565
POINT (-3785.710905124185 6370.102766763573),585
POINT (964.6132295589476 3990.9151409674746),613
POINT (-234.243137788133 3883.0999271251517),631
POINT (-235.94149790941356 3872.6974739555535),850
POINT (-498.1930815010372 3544.9593159320175),871
POINT (776.1976410487316 926.5110323198392),880
POINT (-3914.0344457093124 5968.533854658347),893
POINT (-3893.9018570849257 5967.747780690082),932
POINT (-3204.657869189811 6478.489310033927),943
POINT (-214.0560953893995 3886.7711642899226),995
POINT (-237.53296424600444 3866.2542821604065),14
POINT (-215.53006370394453 3880.1458724770923),49
POINT (1797.2799828265845 4340.774328296322),54
POINT (-1530.1436272625951 3805.873238981324),90
POINT (-256.95548088048184 5030.190715903868),114
POINT (756.7986493760545 926.9000152573052),146
POINT (954.1366291553148 3980.7600828261175),199
POINT (781.7273429184194 947.5675177185799),251
POINT (-1703.115596283125 3866.951281068186),269
POINT (-1537.457604711176 3802.5238069186953),281
POINT (-509.31221153333234 3563.705006228675),290
POINT (-3798.7440122960656 6368.908409013423),309
POINT (-3207.4926841941747 6472.697754640747),319
POINT (-1693.0346454130965 3878.720656625491),328
POINT (-500.6974067954011 3547.3324561211803),345
POINT (-3217.372012692735 6497.071070083335),361
POINT (-494.80266436924023 3546.4022130728918),363
POINT (-3804.7275345171915 6368.09303089047),377
POINT (-256.84539677867883 5013.730362396158),379
